news_path,Original_or_LLM,class,setType
train-true-orig/302.txt,original,0,train
train-true-orig/3116.txt,original,0,train
train-true-orig/960.txt,original,0,train
train-fake-LLM/2381.txt,LLM,1,train
train-fake-LLM/3574.txt,LLM,1,train
train-fake-LLM/872.txt,LLM,1,train
train-fake-LLM/1052.txt,LLM,1,train
train-true-orig/1164.txt,original,0,train
train-true-orig/1314.txt,original,0,train
train-fake-LLM/2073.txt,LLM,1,train
train-true-orig/1349.txt,original,0,train
train-true-orig/3013.txt,original,0,train
train-true-orig/635.txt,original,0,train
train-true-orig/905.txt,original,0,train
train-true-orig/2906.txt,original,0,train
train-fake-LLM/3144.txt,LLM,1,train
train-fake-LLM/484.txt,LLM,1,train
train-fake-LLM/1295.txt,LLM,1,train
train-fake-LLM/2101.txt,LLM,1,train
train-fake-LLM/3448.txt,LLM,1,train
train-true-orig/700.txt,original,0,train
train-true-orig/2451.txt,original,0,train
train-true-orig/3508.txt,original,0,train
train-true-orig/3597.txt,original,0,train
train-fake-LLM/3050.txt,LLM,1,train
train-true-orig/1842.txt,original,0,train
train-fake-LLM/3167.txt,LLM,1,train
train-fake-LLM/3002.txt,LLM,1,train
train-fake-LLM/1668.txt,LLM,1,train
train-fake-LLM/842.txt,LLM,1,train
train-fake-LLM/102.txt,LLM,1,train
train-fake-LLM/1553.txt,LLM,1,train
train-fake-LLM/3032.txt,LLM,1,train
train-fake-LLM/2192.txt,LLM,1,train
train-fake-LLM/1344.txt,LLM,1,train
train-fake-LLM/3588.txt,LLM,1,train
train-true-orig/235.txt,original,0,train
train-fake-LLM/2665.txt,LLM,1,train
train-fake-LLM/3361.txt,LLM,1,train
train-fake-LLM/20.txt,LLM,1,train
train-true-orig/1418.txt,original,0,train
train-fake-LLM/2509.txt,LLM,1,train
train-fake-LLM/1531.txt,LLM,1,train
train-true-orig/1283.txt,original,0,train
train-true-orig/3339.txt,original,0,train
train-true-orig/1011.txt,original,0,train
train-true-orig/630.txt,original,0,train
train-true-orig/456.txt,original,0,train
train-true-orig/3038.txt,original,0,train
train-true-orig/596.txt,original,0,train
train-true-orig/3309.txt,original,0,train
train-true-orig/2336.txt,original,0,train
train-true-orig/1572.txt,original,0,train
train-fake-LLM/1345.txt,LLM,1,train
train-fake-LLM/324.txt,LLM,1,train
train-fake-LLM/54.txt,LLM,1,train
train-fake-LLM/2777.txt,LLM,1,train
train-true-orig/979.txt,original,0,train
train-fake-LLM/2347.txt,LLM,1,train
train-fake-LLM/396.txt,LLM,1,train
train-true-orig/1698.txt,original,0,train
train-fake-LLM/3212.txt,LLM,1,train
train-fake-LLM/753.txt,LLM,1,train
train-true-orig/3306.txt,original,0,train
train-true-orig/1766.txt,original,0,train
train-fake-LLM/2914.txt,LLM,1,train
train-true-orig/2677.txt,original,0,train
train-fake-LLM/73.txt,LLM,1,train
train-true-orig/1923.txt,original,0,train
train-true-orig/3193.txt,original,0,train
train-fake-LLM/2974.txt,LLM,1,train
train-fake-LLM/1084.txt,LLM,1,train
train-true-orig/2029.txt,original,0,train
train-true-orig/2704.txt,original,0,train
train-fake-LLM/470.txt,LLM,1,train
train-fake-LLM/3232.txt,LLM,1,train
train-fake-LLM/1304.txt,LLM,1,train
train-true-orig/3476.txt,original,0,train
train-fake-LLM/3419.txt,LLM,1,train
train-true-orig/1734.txt,original,0,train
train-fake-LLM/412.txt,LLM,1,train
train-fake-LLM/581.txt,LLM,1,train
train-true-orig/939.txt,original,0,train
train-true-orig/2472.txt,original,0,train
train-fake-LLM/1829.txt,LLM,1,train
train-true-orig/2589.txt,original,0,train
train-fake-LLM/1949.txt,LLM,1,train
train-fake-LLM/2022.txt,LLM,1,train
train-fake-LLM/1408.txt,LLM,1,train
train-true-orig/385.txt,original,0,train
train-true-orig/1357.txt,original,0,train
train-fake-LLM/3161.txt,LLM,1,train
train-true-orig/2182.txt,original,0,train
train-fake-LLM/3482.txt,LLM,1,train
train-true-orig/637.txt,original,0,train
train-true-orig/1108.txt,original,0,train
train-fake-LLM/3348.txt,LLM,1,train
train-fake-LLM/2201.txt,LLM,1,train
train-fake-LLM/3100.txt,LLM,1,train
train-fake-LLM/1219.txt,LLM,1,train
train-true-orig/2986.txt,original,0,train
train-fake-LLM/2379.txt,LLM,1,train
train-fake-LLM/2888.txt,LLM,1,train
train-fake-LLM/250.txt,LLM,1,train
train-fake-LLM/3267.txt,LLM,1,train
train-fake-LLM/747.txt,LLM,1,train
train-fake-LLM/2578.txt,LLM,1,train
train-fake-LLM/99.txt,LLM,1,train
train-fake-LLM/2546.txt,LLM,1,train
train-true-orig/3418.txt,original,0,train
train-fake-LLM/1258.txt,LLM,1,train
